Distance_Covered_km,Time_Taken_min,Time_of_Order,Riding_Time_min,Time_of_Delivery,Hour_of_Day,Order_Type,Weather,Traffic,Area_Type,Demand_Surge,Effort_Surcharge_INR,Tip_Amount,Festival_Day,Known_Fees
4.88,18,14:10,5,14:33,14,Fragile,Clear,High,Suburban,1.0,5.0,0.0,No,92.98
4.96,20,12:37,6,13:03,12,Regular,Rain,High,Semi-Urban,1.2,0.0,14.0,No,115.37
4.28,14,18:08,3,18:25,18,Fragile+Heavy,Rain,Low,Urban,1.2,25.0,0.0,No,134.67
1.14,13,09:58,4,10:15,9,Regular,Clear,High,Urban,1.0,0.0,6.0,No,36.65
3.36,15,12:14,5,12:34,12,Regular,Clear,Medium,Urban,1.39,0.0,0.0,Yes,96.79
8.0,29,13:46,7,14:22,13,Fragile,Clear,Jam,Semi-Urban,1.06,5.0,8.0,No,137.79
2.07,12,15:47,3,16:02,15,Heavy,Clear,Low,Suburban,1.12,10.0,9.0,Yes,85.94
1.84,15,20:01,6,20:22,20,Regular,Cloudy,Jam,Urban,1.04,0.0,5.0,No,52.75
2.12,10,11:44,3,11:57,11,Regular,Clear,Low,Suburban,1.0,0.0,5.0,No,44.79
5.36,14,16:46,3,17:03,16,Heavy,Cloudy,Low,Semi-Urban,1.0,10.0,5.0,No,87.1
2.4,13,18:49,2,19:04,18,Regular,Clear,High,Suburban,1.0,0.0,6.0,No,45.13
4.09,18,08:19,2,08:39,8,Regular,Heavy Rain,Medium,Suburban,1.02,0.0,0.0,No,94.14
3.46,16,18:52,4,19:12,18,Fragile,Rain,High,Semi-Urban,1.15,10.0,0.0,No,88.43
2.34,15,10:01,3,10:19,10,Regular,Rain,High,Suburban,1.01,0.0,0.0,No,64.26
3.33,13,08:39,4,08:56,8,Fragile+Heavy,Clear,Low,Urban,1.03,20.0,0.0,Yes,99.43
2.39,9,22:15,4,22:28,22,Fragile,Clear,Low,Urban,1.0,10.0,0.0,No,55.48
1.48,8,22:12,3,22:23,22,Fragile+Heavy,Clear,Medium,Urban,1.0,25.0,10.0,No,58.76
1.92,12,20:11,6,20:29,20,Regular,Cloudy,High,Urban,1.0,0.0,7.0,No,39.52
2.07,13,12:45,8,13:06,12,Fragile+Heavy,Clear,Jam,Urban,1.06,25.0,0.0,No,76.66
1.55,12,09:25,4,09:41,9,Regular,Cloudy,High,Urban,1.0,0.0,5.0,No,41.46
2.4,18,19:47,7,20:12,19,Regular,Cloudy,Jam,Urban,1.08,0.0,0.0,No,69.23
4.31,13,15:57,2,16:12,15,Regular,Cloudy,Low,Urban,1.0,0.0,9.0,No,62.42
2.26,14,09:26,2,09:42,9,Regular,Rain,Medium,Urban,1.18,0.0,7.0,No,60.74
1.54,10,16:36,2,16:48,16,Regular,Clear,Low,Urban,1.16,0.0,12.0,Yes,50.42
1.22,7,07:41,2,07:50,7,Regular,Clear,Low,Urban,1.0,0.0,5.0,No,26.04
1.6,12,21:04,5,21:21,21,Regular,Cloudy,Jam,Urban,1.19,0.0,0.0,No,54.23
3.32,23,12:41,7,13:11,12,Regular,Heavy Rain,Jam,Suburban,1.32,0.0,10.0,No,117.48
3.16,16,18:48,2,19:06,18,Fragile,Cloudy,High,Urban,1.0,5.0,6.0,No,68.89
1.63,12,12:22,4,12:38,12,Regular,Cloudy,Jam,Suburban,1.29,0.0,5.0,Yes,75.38
1.33,9,17:40,3,17:52,17,Heavy,Rain,Low,Urban,1.18,10.0,6.0,No,65.89
2.34,13,17:42,5,18:00,17,Fragile,Clear,Jam,Urban,1.0,5.0,0.0,No,56.01
0.91,11,10:17,2,10:30,10,Heavy,Heavy Rain,Low,Urban,1.17,10.0,5.0,No,75.36
2.64,11,22:35,3,22:49,22,Regular,Clear,Medium,Urban,1.0,0.0,0.0,No,41.5
3.65,16,19:44,7,20:07,19,Fragile+Heavy,Clear,High,Urban,1.12,25.0,0.0,No,99.72
2.7,14,22:17,2,22:33,22,Fragile,Clear,Low,Suburban,1.17,5.0,15.0,Yes,90.98
3.95,17,21:10,4,21:31,21,Fragile+Heavy,Clear,Jam,Suburban,1.1,25.0,5.0,No,104.72
1.51,13,18:52,3,19:08,18,Regular,Clear,High,Urban,1.0,0.0,6.0,No,36.52
2.85,13,21:48,5,22:06,21,Fragile,Clear,Medium,Urban,1.16,5.0,7.0,No,66.42
2.39,12,08:19,2,08:33,8,Heavy,Clear,Low,Urban,1.17,15.0,8.0,Yes,84.63
2.76,12,10:29,2,10:43,10,Regular,Clear,Medium,Suburban,1.0,0.0,0.0,No,53.41
3.71,17,08:49,4,09:10,8,Fragile,Clear,Jam,Suburban,1.0,10.0,8.0,No,83.02
3.78,20,13:47,4,14:11,13,Heavy,Rain,High,Urban,1.49,10.0,0.0,No,129.8
1.71,12,13:00,5,13:17,13,Fragile,Clear,Low,Urban,1.28,5.0,5.0,Yes,58.27
1.29,16,12:57,8,13:21,12,Regular,Clear,Jam,Urban,1.12,0.0,0.0,No,36.37
1.57,13,20:42,6,21:01,20,Fragile,Clear,High,Urban,1.32,5.0,5.0,Yes,71.59
1.97,18,13:29,6,13:53,13,Regular,Clear,Jam,Suburban,1.17,0.0,0.0,No,55.44
1.77,19,12:46,5,13:10,12,Heavy,Rain,High,Urban,1.66,10.0,12.0,Yes,133.21
1.24,20,17:31,5,17:56,17,Regular,Rain,Jam,Urban,1.14,0.0,8.0,No,61.99
3.14,18,09:37,2,09:57,9,Regular,Rain,High,Suburban,1.21,0.0,5.0,Yes,103.2
3.5,13,20:10,3,20:26,20,Regular,Clear,High,Suburban,1.05,0.0,7.0,No,64.04
2.17,17,08:15,2,08:34,8,Fragile,Clear,High,Suburban,1.08,5.0,5.0,Yes,75.95
8.0,19,23:04,3,23:26,23,Fragile+Heavy,Clear,Low,Suburban,1.0,20.0,23.0,No,125.04
7.94,20,19:37,3,20:00,19,Regular,Cloudy,Low,Semi-Urban,1.05,0.0,0.0,No,139.39
2.26,13,11:52,3,12:08,11,Regular,Rain,Low,Urban,1.17,0.0,7.0,No,66.81
8.0,21,00:50,2,01:13,0,Regular,Rain,Low,Semi-Urban,1.09,0.0,19.0,No,134.2
3.75,22,20:40,5,21:07,20,Heavy,Clear,Jam,Suburban,1.28,10.0,10.0,Yes,120.65
8.0,23,19:29,6,19:58,19,Regular,Clear,High,Semi-Urban,1.15,0.0,7.0,No,141.35
2.73,17,19:27,7,19:51,19,Regular,Clear,Jam,Suburban,1.0,0.0,5.0,No,61.78
3.67,16,19:33,6,19:55,19,Fragile,Cloudy,Medium,Suburban,1.36,10.0,0.0,Yes,129.03
4.21,13,08:50,4,09:07,8,Regular,Clear,Low,Urban,1.0,0.0,0.0,No,68.5
1.75,15,13:31,5,13:51,13,Regular,Clear,High,Suburban,1.36,0.0,11.0,Yes,82.24
1.97,11,09:42,2,09:55,9,Regular,Rain,Low,Urban,1.15,0.0,6.0,No,53.93
5.36,19,21:50,5,22:14,21,Heavy,Cloudy,High,Semi-Urban,1.13,10.0,0.0,No,120.85
2.71,13,18:13,3,18:29,18,Heavy,Clear,Medium,Urban,1.0,15.0,0.0,No,65.92
2.23,17,13:29,5,13:51,13,Heavy,Clear,Jam,Suburban,1.12,20.0,5.0,No,83.97
3.28,19,08:39,3,09:01,8,Regular,Cloudy,High,Semi-Urban,1.01,0.0,7.0,Yes,90.86
3.32,21,12:46,7,13:14,12,Regular,Cloudy,Jam,Suburban,1.15,0.0,6.0,No,73.39
2.83,14,13:25,5,13:44,13,Regular,Cloudy,Medium,Urban,1.39,0.0,8.0,Yes,95.8
2.9,12,19:49,3,20:04,19,Fragile,Clear,Medium,Suburban,1.06,10.0,7.0,No,62.56
0.86,13,18:08,2,18:23,18,Fragile,Rain,Medium,Urban,1.4,10.0,7.0,Yes,89.41
3.37,21,21:43,6,22:10,21,Heavy,Cloudy,Jam,Suburban,1.02,15.0,0.0,No,88.41
2.6,11,15:40,3,15:54,15,Regular,Rain,Low,Urban,1.02,0.0,7.0,No,47.75
3.02,13,09:38,3,09:54,9,Heavy,Clear,Low,Urban,1.0,15.0,0.0,No,65.39
2.06,14,19:48,5,20:07,19,Fragile,Clear,High,Urban,1.18,5.0,0.0,No,57.91
2.25,10,19:07,7,19:24,19,Regular,Clear,Low,Urban,1.1,0.0,0.0,No,45.87
2.4,12,17:18,4,17:34,17,Fragile,Rain,Low,Urban,1.08,10.0,0.0,No,75.58
2.42,16,19:31,7,19:54,19,Heavy,Clear,Jam,Urban,1.04,15.0,0.0,No,63.18
3.06,10,16:33,3,16:46,16,Heavy,Clear,Low,Urban,1.0,10.0,0.0,No,56.37
5.17,17,17:25,4,17:46,17,Fragile,Clear,High,Semi-Urban,1.0,5.0,6.0,No,89.66
3.61,20,14:33,6,14:59,14,Regular,Cloudy,Jam,Suburban,1.06,0.0,5.0,No,78.47
3.6,13,06:44,4,07:01,6,Heavy,Rain,Low,Suburban,1.2,15.0,6.0,No,98.54
2.63,22,09:49,3,10:14,9,Fragile,Rain,Jam,Suburban,1.25,10.0,10.0,Yes,135.55
0.89,10,07:39,4,07:53,7,Regular,Cloudy,Low,Urban,1.0,0.0,0.0,No,36.08
2.47,17,18:50,3,19:10,18,Regular,Heavy Rain,Low,Urban,1.45,0.0,5.0,Yes,133.9
3.9,15,12:01,4,12:20,12,Regular,Clear,High,Suburban,1.0,0.0,6.0,No,60.05
4.62,16,16:29,3,16:48,16,Regular,Rain,Low,Urban,1.18,0.0,0.0,No,108.01
1.67,13,21:10,7,21:30,21,Heavy,Clear,Jam,Suburban,1.1,15.0,10.0,No,58.04
3.77,12,12:32,6,12:50,12,Regular,Clear,Low,Urban,1.03,0.0,5.0,No,56.86
1.03,10,14:37,5,14:52,14,Regular,Clear,High,Urban,1.43,0.0,5.0,Yes,65.25
2.06,9,19:39,6,19:54,19,Regular,Clear,Low,Urban,1.02,0.0,5.0,No,39.08
1.55,7,11:12,4,11:23,11,Regular,Clear,Low,Urban,1.0,0.0,5.0,No,27.49
3.85,17,08:17,2,08:36,8,Regular,Clear,Medium,Urban,1.11,0.0,0.0,Yes,81.28
4.26,17,12:57,7,13:21,12,Regular,Clear,High,Suburban,1.17,0.0,0.0,No,77.94
3.96,12,10:39,4,10:55,10,Regular,Clear,Low,Suburban,1.0,0.0,0.0,No,55.75
2.2,15,22:27,2,22:44,22,Fragile,Clear,High,Urban,1.0,10.0,0.0,No,58.13
1.8,12,20:41,6,20:59,20,Regular,Rain,Low,Semi-Urban,2.0,0.0,0.0,Yes,106.82
2.73,13,18:58,4,19:15,18,Fragile,Rain,Low,Urban,1.07,10.0,8.0,No,72.04
1.72,18,21:15,4,21:37,21,Regular,Heavy Rain,High,Urban,1.27,0.0,5.0,No,84.86
2.28,12,20:16,8,20:36,20,Regular,Cloudy,Jam,Suburban,1.17,0.0,0.0,No,52.54
1.66,11,10:17,3,10:31,10,Regular,Cloudy,Medium,Urban,1.0,0.0,0.0,No,44.99
1.49,19,21:58,6,22:23,21,Regular,Rain,High,Urban,1.67,0.0,7.0,Yes,118.28
1.74,11,17:33,2,17:46,17,Regular,Cloudy,Medium,Suburban,1.0,0.0,5.0,No,36.86
1.75,10,20:55,7,21:12,20,Regular,Clear,High,Urban,1.03,0.0,0.0,No,40.39
2.82,12,21:44,7,22:03,21,Regular,Clear,Low,Suburban,1.46,0.0,0.0,Yes,79.68
3.56,16,12:59,4,13:19,12,Fragile,Clear,High,Suburban,1.18,10.0,0.0,No,85.23
2.17,14,09:17,4,09:35,9,Regular,Rain,Medium,Urban,1.19,0.0,9.0,No,75.47
4.33,14,11:08,4,11:26,11,Heavy,Cloudy,Medium,Semi-Urban,1.0,15.0,0.0,No,93.67
3.29,15,14:27,3,14:45,14,Heavy,Clear,High,Urban,1.02,10.0,10.0,No,69.14
2.71,15,20:30,7,20:52,20,Heavy,Clear,Jam,Urban,1.16,10.0,0.0,No,73.46
2.8,15,21:39,4,21:58,21,Regular,Clear,High,Urban,1.04,0.0,0.0,No,56.49
1.48,13,00:16,4,00:33,0,Heavy,Cloudy,High,Urban,1.0,15.0,0.0,No,58.62
2.51,10,16:38,3,16:51,16,Regular,Clear,Low,Semi-Urban,1.0,0.0,0.0,No,43.91
1.92,14,14:29,8,14:51,14,Regular,Clear,Jam,Urban,1.15,0.0,0.0,No,44.85
3.14,13,11:23,3,11:39,11,Regular,Clear,High,Suburban,1.0,0.0,0.0,No,65.26
6.35,18,09:48,3,10:09,9,Fragile+Heavy,Cloudy,Medium,Suburban,1.0,25.0,11.0,No,133.26
2.69,30,13:16,6,13:52,13,Regular,Heavy Rain,Jam,Suburban,1.74,0.0,11.0,Yes,174.67
2.21,13,22:22,3,22:38,22,Heavy,Rain,Medium,Urban,1.06,15.0,0.0,No,70.09
1.43,16,13:46,3,14:05,13,Regular,Clear,High,Urban,1.36,0.0,0.0,Yes,76.35
3.89,19,16:01,4,16:24,16,Heavy,Clear,Jam,Suburban,1.1,15.0,0.0,Yes,93.9
1.95,14,19:49,5,20:08,19,Heavy,Clear,Jam,Suburban,1.01,10.0,0.0,No,52.7
2.69,11,13:45,4,14:00,13,Heavy,Clear,Medium,Semi-Urban,1.07,10.0,11.0,No,68.02
1.45,8,22:49,4,23:01,22,Regular,Cloudy,Low,Suburban,1.0,0.0,0.0,No,32.05
2.76,12,22:21,2,22:35,22,Heavy,Clear,Medium,Urban,1.0,10.0,15.0,No,52.1
1.76,16,12:42,5,13:03,12,Fragile+Heavy,Cloudy,High,Urban,1.03,25.0,0.0,No,71.65
3.16,19,16:50,5,17:14,16,Regular,Clear,Jam,Suburban,1.0,0.0,7.0,No,62.63
3.38,25,12:44,4,13:13,12,Regular,Heavy Rain,Jam,Suburban,1.35,0.0,6.0,No,126.6
3.75,15,12:23,6,12:44,12,Fragile,Clear,Jam,Urban,1.19,10.0,0.0,No,91.86
1.52,10,07:17,3,07:30,7,Regular,Clear,Medium,Urban,1.0,0.0,0.0,No,42.73
5.9,19,18:11,4,18:34,18,Heavy,Cloudy,High,Semi-Urban,1.0,10.0,10.0,No,112.04
3.51,14,16:51,2,17:07,16,Regular,Cloudy,Medium,Urban,1.0,0.0,0.0,No,68.46
2.1,11,08:12,2,08:25,8,Regular,Cloudy,Medium,Urban,1.0,0.0,5.0,No,48.43
2.27,25,12:03,8,12:36,12,Regular,Heavy Rain,Jam,Urban,2.0,0.0,15.0,Yes,191.14
2.67,10,21:53,5,22:08,21,Regular,Clear,Medium,Suburban,1.17,0.0,5.0,No,61.81
1.85,14,12:26,4,12:44,12,Regular,Clear,Jam,Urban,1.19,0.0,0.0,No,50.22
3.63,15,09:23,2,09:40,9,Heavy,Rain,Medium,Semi-Urban,1.09,15.0,0.0,No,95.08
3.82,12,16:58,2,17:12,16,Regular,Clear,Low,Urban,1.0,0.0,0.0,No,67.73
3.91,12,23:33,2,23:47,23,Heavy,Clear,Medium,Urban,1.0,10.0,10.0,No,78.27
1.78,19,12:47,8,13:14,12,Heavy,Cloudy,Jam,Urban,1.17,20.0,5.0,No,96.63
4.78,17,19:56,6,20:19,19,Regular,Cloudy,High,Semi-Urban,1.18,0.0,7.0,No,93.6
1.92,11,19:20,4,19:35,19,Regular,Clear,High,Suburban,1.15,0.0,5.0,No,47.7
2.83,9,11:23,3,11:35,11,Regular,Clear,Low,Urban,1.0,0.0,5.0,No,46.19
1.99,11,19:18,4,19:33,19,Regular,Clear,High,Urban,1.01,0.0,0.0,No,42.61
2.27,13,13:31,7,13:51,13,Regular,Clear,Jam,Urban,1.15,0.0,0.0,No,52.82
2.52,16,18:49,2,19:07,18,Regular,Rain,Medium,Urban,1.13,0.0,6.0,No,79.43
1.83,11,18:00,3,18:14,18,Fragile+Heavy,Clear,Medium,Suburban,1.0,20.0,0.0,No,50.37
2.69,11,17:56,4,18:11,17,Regular,Clear,Low,Suburban,1.0,0.0,5.0,No,46.03
2.36,10,08:32,2,08:44,8,Fragile,Cloudy,Low,Urban,1.0,10.0,0.0,No,53.52
1.67,15,20:54,5,21:14,20,Fragile+Heavy,Cloudy,Jam,Urban,1.07,25.0,6.0,No,75.29
2.99,19,12:16,4,12:39,12,Heavy,Cloudy,High,Suburban,1.42,15.0,11.0,Yes,128.74
2.86,13,10:18,3,10:34,10,Heavy,Clear,Medium,Suburban,1.0,20.0,0.0,No,74.49
0.89,11,07:47,4,08:02,7,Heavy,Rain,Low,Urban,1.03,15.0,6.0,No,53.6
2.8,14,18:52,3,19:09,18,Regular,Clear,High,Urban,1.0,0.0,0.0,No,56.22
3.1,12,19:55,6,20:13,19,Heavy,Clear,Medium,Urban,1.06,10.0,5.0,No,70.62
3.18,15,05:58,3,06:16,5,Fragile+Heavy,Rain,Low,Urban,1.35,30.0,12.0,Yes,139.07
4.2,17,16:58,4,17:19,16,Regular,Clear,High,Suburban,1.0,0.0,5.0,No,75.0
2.88,19,11:44,3,12:06,11,Regular,Rain,High,Urban,1.02,0.0,0.0,No,74.41
1.09,10,18:44,2,18:56,18,Regular,Clear,Medium,Urban,1.0,0.0,0.0,No,32.58
2.55,11,10:26,2,10:39,10,Regular,Rain,Low,Urban,1.14,0.0,5.0,No,64.17
1.1,9,19:04,6,19:19,19,Regular,Clear,High,Suburban,1.17,0.0,0.0,No,33.16
0.98,14,13:16,5,13:35,13,Fragile,Rain,High,Urban,1.35,5.0,0.0,No,69.98
8.0,21,22:30,4,22:55,22,Fragile,Cloudy,Low,Semi-Urban,1.0,10.0,0.0,No,119.9
2.22,12,09:43,4,09:59,9,Regular,Cloudy,Medium,Urban,1.07,0.0,5.0,Yes,68.41
4.41,22,13:19,4,13:45,13,Regular,Clear,High,Semi-Urban,1.5,0.0,0.0,Yes,138.34
2.2,21,09:36,4,10:01,9,Heavy,Heavy Rain,Medium,Suburban,1.18,20.0,0.0,No,118.07
1.65,13,21:45,7,22:05,21,Regular,Clear,High,Urban,1.06,0.0,0.0,No,44.03
2.74,10,21:33,5,21:48,21,Regular,Clear,Medium,Urban,1.18,0.0,0.0,No,54.99
1.7,8,12:04,4,12:16,12,Fragile,Cloudy,Low,Urban,1.33,10.0,12.0,Yes,83.03
2.89,11,18:04,2,18:17,18,Regular,Clear,Low,Suburban,1.0,0.0,5.0,No,45.13
2.1,13,20:43,6,21:02,20,Regular,Clear,High,Urban,1.19,0.0,0.0,No,50.85
2.78,10,17:29,4,17:43,17,Regular,Cloudy,Medium,Semi-Urban,1.0,0.0,0.0,No,52.25
1.69,15,17:55,2,18:12,17,Heavy,Clear,High,Urban,1.0,10.0,5.0,No,50.99
2.83,20,12:41,4,13:05,12,Fragile,Rain,High,Urban,1.29,10.0,9.0,No,109.67
2.06,9,09:26,4,09:39,9,Regular,Cloudy,Low,Suburban,1.0,0.0,0.0,No,37.7
3.97,20,21:47,5,22:12,21,Regular,Clear,Jam,Semi-Urban,1.27,0.0,0.0,Yes,100.59
4.06,17,21:57,4,22:18,21,Fragile,Clear,Jam,Suburban,1.11,5.0,0.0,No,86.24
1.83,8,18:56,4,19:08,18,Heavy,Cloudy,Medium,Urban,1.0,15.0,5.0,No,59.04
1.97,16,13:11,6,13:33,13,Fragile,Rain,Jam,Urban,1.35,10.0,9.0,No,87.88
2.58,14,13:42,5,14:01,13,Heavy,Clear,High,Suburban,1.01,20.0,7.0,No,76.77
0.69,9,19:04,6,19:19,19,Regular,Clear,Medium,Urban,1.05,0.0,0.0,No,31.8
4.1,14,21:45,6,22:05,21,Fragile,Clear,Low,Suburban,1.07,5.0,0.0,No,62.18
2.62,11,21:26,6,21:43,21,Heavy,Cloudy,Medium,Urban,1.1,10.0,9.0,No,60.87
1.72,9,20:45,6,21:00,20,Heavy,Cloudy,Low,Urban,1.01,15.0,0.0,No,59.06
2.35,10,18:53,3,19:06,18,Heavy,Clear,Low,Suburban,1.0,10.0,0.0,No,54.64
2.12,11,08:03,3,08:17,8,Regular,Cloudy,Medium,Suburban,1.0,0.0,0.0,No,41.52
2.86,14,10:24,2,10:40,10,Heavy,Rain,Medium,Suburban,1.13,15.0,0.0,No,83.85
2.07,18,21:53,6,22:17,21,Fragile,Clear,Jam,Urban,1.14,5.0,7.0,No,65.58
2.23,11,18:40,3,18:54,18,Heavy,Cloudy,Low,Suburban,1.0,15.0,5.0,No,64.73
1.51,12,01:24,3,01:39,1,Regular,Rain,Low,Urban,1.01,0.0,15.0,No,53.58
4.06,20,09:04,4,09:28,9,Fragile,Heavy Rain,Low,Semi-Urban,1.05,5.0,14.0,No,102.78
4.39,10,18:09,4,18:23,18,Heavy,Clear,Low,Urban,1.0,15.0,0.0,No,74.2
5.61,25,00:51,6,01:22,0,Regular,Clear,Jam,Suburban,1.02,0.0,0.0,Yes,127.26
6.61,27,10:27,4,10:58,10,Fragile,Heavy Rain,Medium,Urban,1.4,5.0,12.0,Yes,200.0
1.86,11,17:27,4,17:42,17,Heavy,Clear,Medium,Semi-Urban,1.0,10.0,0.0,No,46.07
3.03,14,19:31,7,19:52,19,Regular,Clear,Jam,Urban,1.12,0.0,5.0,No,59.83
2.92,12,18:18,2,18:32,18,Regular,Clear,Medium,Urban,1.0,0.0,0.0,No,50.03
2.41,17,11:27,3,11:47,11,Fragile,Cloudy,Medium,Urban,1.03,5.0,5.0,Yes,88.37
3.43,14,19:35,5,19:54,19,Regular,Clear,High,Suburban,1.2,0.0,0.0,No,69.15
2.52,16,11:45,3,12:04,11,Regular,Rain,Low,Suburban,1.13,0.0,9.0,No,65.46
2.23,10,13:35,5,13:50,13,Regular,Clear,Medium,Semi-Urban,1.02,0.0,0.0,No,44.91
1.72,8,19:57,5,20:10,19,Regular,Cloudy,Low,Urban,1.5,0.0,5.0,Yes,61.88
4.61,20,18:45,3,19:08,18,Regular,Clear,High,Suburban,1.0,0.0,10.0,No,89.5
2.27,13,20:09,4,20:26,20,Regular,Clear,High,Urban,1.07,0.0,0.0,No,42.4
2.4,11,18:44,4,18:59,18,Fragile,Clear,Medium,Urban,1.0,10.0,5.0,No,47.52
1.88,13,17:28,4,17:45,17,Fragile,Heavy Rain,Low,Urban,1.17,5.0,0.0,No,76.36
3.72,13,09:09,3,09:25,9,Heavy,Cloudy,Low,Semi-Urban,1.0,20.0,0.0,No,88.81
1.25,12,13:11,6,13:29,13,Regular,Cloudy,Jam,Urban,1.12,0.0,0.0,No,40.15
2.17,13,12:34,6,12:53,12,Regular,Cloudy,Medium,Urban,1.43,0.0,0.0,Yes,83.64
1.8,15,12:13,5,12:33,12,Regular,Clear,High,Urban,1.47,0.0,0.0,Yes,82.95
7.95,24,23:48,2,00:14,23,Heavy,Cloudy,Low,Semi-Urban,1.09,15.0,0.0,Yes,169.15
2.22,17,14:57,7,15:21,14,Fragile,Clear,Jam,Urban,1.11,10.0,6.0,No,68.88
2.73,18,21:45,6,22:09,21,Heavy,Cloudy,Jam,Urban,1.07,10.0,5.0,No,72.55
5.8,21,18:52,4,19:17,18,Regular,Clear,Jam,Suburban,1.0,0.0,7.0,No,91.34
2.54,15,20:40,3,20:58,20,Fragile,Rain,Medium,Urban,1.2,10.0,5.0,No,95.82
3.57,12,16:58,3,17:13,16,Regular,Cloudy,Medium,Suburban,1.0,0.0,11.0,No,51.55
4.45,16,17:29,4,17:49,17,Heavy,Clear,High,Suburban,1.0,10.0,0.0,No,87.1
3.21,10,16:20,2,16:32,16,Regular,Clear,Medium,Urban,1.0,0.0,0.0,No,48.24
0.9,11,10:31,3,10:45,10,Regular,Clear,Low,Urban,1.18,0.0,5.0,Yes,57.84
4.71,18,19:19,7,19:44,19,Regular,Rain,High,Semi-Urban,1.42,0.0,10.0,No,136.27
1.91,14,12:05,5,12:24,12,Fragile,Clear,High,Urban,1.02,5.0,0.0,No,49.74
1.31,10,06:46,4,07:00,6,Regular,Clear,Medium,Suburban,1.0,0.0,5.0,No,35.31
2.66,15,18:05,4,18:24,18,Regular,Clear,High,Urban,1.0,0.0,0.0,No,54.68
4.23,24,10:48,4,11:16,10,Regular,Heavy Rain,Low,Suburban,1.29,0.0,9.0,Yes,146.71
2.4,13,22:12,3,22:28,22,Fragile+Heavy,Cloudy,High,Suburban,1.0,20.0,14.0,No,69.04
1.75,8,22:04,2,22:14,22,Regular,Clear,Low,Urban,1.0,0.0,10.47,No,34.9
4.5,18,21:33,5,21:56,21,Heavy,Cloudy,High,Suburban,1.17,15.0,0.0,No,115.51
3.85,23,13:26,5,13:54,13,Fragile+Heavy,Heavy Rain,High,Suburban,1.42,25.0,8.0,No,179.93
1.64,9,04:17,2,04:28,4,Fragile+Heavy,Cloudy,Low,Semi-Urban,1.0,25.0,5.0,No,67.8
2.81,11,22:46,2,22:59,22,Heavy,Clear,Low,Urban,1.0,10.0,0.0,No,60.29
4.8,19,14:40,4,15:03,14,Heavy,Clear,High,Urban,1.02,15.0,0.0,No,98.31
2.91,15,22:33,3,22:51,22,Regular,Clear,High,Urban,1.0,0.0,15.0,No,52.56
8.0,19,22:28,4,22:51,22,Regular,Clear,Low,Suburban,1.0,0.0,12.0,No,116.39
3.67,19,20:52,7,21:18,20,Fragile,Cloudy,Jam,Semi-Urban,1.02,5.0,8.0,No,71.38
2.83,18,12:40,4,13:02,12,Regular,Cloudy,High,Suburban,1.45,0.0,13.0,Yes,112.42
4.78,21,13:25,5,13:51,13,Regular,Rain,High,Semi-Urban,1.32,0.0,8.0,No,135.96
3.66,14,20:23,5,20:42,20,Fragile,Cloudy,Medium,Urban,1.18,5.0,5.0,No,76.45
3.17,17,12:44,6,13:07,12,Fragile,Clear,Jam,Urban,1.19,5.0,0.0,No,80.67
1.82,10,10:23,2,10:35,10,Heavy,Cloudy,Medium,Urban,1.0,10.0,0.0,No,49.92
